的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
芜 wu2 吾鼯唔梧毋吴浯铻 "无 wu2, 十 shi2, 尢 wang1" 3153 "荒芜 芜湖" "芜 wu2 overgrown with weeds
荒芜 huang1wu2 left to return to unchecked growth; overgrown; grown wild
芜湖 wu2hu2 wuhu, prefecture-level city in anhui"
埚 guo1 呙蝈郭聒崞锅 "土 tu3, 呙 wai1, 十 shi2, 口 kou3, 内 nei4, 人 ren2" 3154  "埚 guo1 crucible"
捎 shao1 筲艄蛸梢烧稍 "肖 xiao4, 月 yue4" 3155 捎来 "捎 shao1 to bring sth to sb; to deliver
捎来 shao1lai2 to bring sth to sb (news etc)"
缁 zi1 姿孳滋觜淄锱髭镃 "甾 zai1, 田 tian2, 囗 wei2, 十 shi2" 3156  "缁 zi1 black silk; dark"
颅 lu2 庐垆轳卢胪舻炉芦 "卢 lu2, 页 ye4, 尸 shi1, 贝 bei4, 人 ren2" 3157 头颅 "颅 lu2 forehead; skull
头颅 tou2lu2 head; skull"
拗 ao4 懊坳傲奡隩鏊奥澳 "幼 you4, 幺 yao1, 力 li4" 3158 "执拗 拗口" "拗 ao4 to bend in two so as to break; to defy; to disobey
执拗 zhi2niu4 stubborn; willful; pigheaded
拗口 ao4kou3 hard to pronounce; awkward-sounding"
紊 wen3 吻稳刎 "文 wen2, 糸 mi4, 乂 yi4, 幺 yao1, 小 xiao3, 八 ba1" 3159 紊乱 "紊 wen3 involved; tangled; disorderly; confused; chaotic
紊乱 wen3luan4 disorder; chaos"
旮 ga1 嘎伽咖戛 "九 jiu3, 日 ri4, 囗 wei2" 3160  "旮旯 ga1la2 corner; nook; recess; out-of-the-way place"
诩 xu3 醑栩珝许冔糈 "羽 yu3, 习 xi2" 3161 自诩 "诩 xu3 to brag; popular; lovely
自诩 zi4xu3 to pose as; to flaunt oneself as; to boast of; to brag"
旯 la2 砬 "日 ri4, 九 jiu3, 囗 wei2" 3162  "旮旯 ga1la2 corner; nook; recess; out-of-the-way place"
铝 lü3 稆履屡缕吕膂旅捋 "吕 lü3, 二 er4, 口 kou3" 3163  "铝 lü3 aluminum (chemistry)"
拮 jie2 诘孑羯杰婕睫桀絜 "吉 ji2, 士 shi4, 口 kou3, 十 shi2" 3164 拮据 "拮 jie2 antagonistic; laboring hard; pressed
拮据 jie2ju1 hard pressed for money; in financial straits"
撇 pie1 瞥氕 "敝 bi4, 巾 jin1, 八 ba1, 乂 yi4" 3165 "撇嘴 撇开 撇下" "撇 pie1 to cast away; to fling aside
撇嘴 pie3zui3 to curl one's lip; to twitch one's mouth
撇开 pie1kai1 to disregard; to leave aside
撇下 pie1xia5 to cast away"
窥 kui1 亏岿盔悝 "穴 xue2, 规 gui1, 八 ba1, 夫 fu1, 见 jian4, 二 er4, 人 ren2, 儿 er2" 3166 "窥视 窥探" "窥 kui1 to peep; to pry into
窥视 kui1shi4 to peep at; to spy on; to peek
窥探 kui1tan4 to pry into or spy on; to snoop; to peep; to poke one's nose into; to peer; to get a glimpse of"
痊 quan2 拳权婘辁全颧鳈蜷 "疒 ne4, 全 quan2, 广 guang3, 厂 chang3, 人 ren2, 王 wang2, 土 tu3, 十 shi2" 3167 痊愈 "痊 quan2 to recover (from illness)
痊愈 quan2yu4 to recover completely (from illness or injury)"
盎 ang4  "央 yang1, 皿 min3, 大 da4, 人 ren2" 3168 盎然 "盎 ang4 (literary) brimming; abundant
盎然 ang4ran2 abundant; plentiful; overflowing; exuberant"
痉 jing4 竟獍净婧镜胫竫靓 "疒 ne4, 广 guang3, 厂 chang3, 工 gong1" 3169 痉挛 "痉 jing4 spasm
痉挛 jing4luan2 to jerk; to contort; spasm; convulsion"
俞 yu2 妤畬雩愉渔玙鱼嵎 "人 ren2, 月 yue4" 3170  "俞 yu2 yes (used by emperor or ruler); ok; to accede; to assent"
纨 wan2 丸玩烷芄完顽 "丸 wan2, 九 jiu3" 3171  "纨 wan2 white; white silk"
鄙 bi3 比秕芘沘匕舭俾笔 "口 kou3, 十 shi2, 回 hui2, 囗 wei2" 3172 "鄙视 卑鄙 鄙夷 鄙人" "鄙 bi3 rustic; low; base; mean; to despise; to scorn
鄙视 bi3shi4 to despise; to disdain; to look down upon
卑鄙 bei1bi3 base; mean; contemptible; despicable
鄙夷 bi3yi2 to despise; to look down upon; despicable
鄙人 bi3ren2 your humble servant; i"
挛 luan2 峦娈脔栾孪滦銮鸾 "手 shou3" 3173 痉挛 "挛 luan2 twisted; bent; crooked; cramped
痉挛 jing4luan2 to jerk; to contort; spasm; convulsion"
擅 shan4 赡汕善蟮嶦𫮃剡疝 "亶 dan3, 旦 dan4, 回 hui2, 囗 wei2, 口 kou3, 日 ri4" 3174 "擅长 擅自" "擅 shan4 without authority; to usurp; to arrogate to oneself; to monopolize; expert in; to be good at
擅长 shan4chang2 to be good at; to be expert in
擅自 shan4zi4 without permission"
毗 pi2 陴脾貔郫罴陂蚍琵 "田 tian2, 比 bi3, 囗 wei2, 十 shi2, 匕 bi3" 3175 毗邻 "毗 pi2 to adjoin; to border on
毗邻 pi2lin2 bordering; adjacent to"
窈 yao3 咬窅杳舀 "穴 xue2, 幼 you4, 八 ba1, 幺 yao1, 力 li4" 3176 窈窕 "窈 yao3 deep; quiet and elegant
窈窕 yao3tiao3 sweet, fair, and graceful (of a woman); a seductive woman; secluded (bower)"
绸 chou2 俦雠愁畴帱仇筹稠 "周 zhou1, 土 tu3, 口 kou3, 十 shi2" 3177 "丝绸 绸缎 绸子" "绸 chou2 (light) silk
丝绸 si1chou2 silk cloth; silk
绸缎 chou2duan4 satin; silk fabric
绸子 chou2zi5 silk fabric; silk"
枭 xiao1 逍箫绡枵虓宵猇潇 "鸟 niao3, 木 mu4, 乌 wu1, 马 ma3, 十 shi2" 3178 枭雄 "枭 xiao1 owl; valiant; trafficker
枭雄 xiao1xiong2 ambitious and ruthless character; formidable person"
逾 yu2 臾觎髃妤渔俞余揄 "辶 chuo4, 俞 yu2, 人 ren2, 月 yue4" 3179 "逾期 逾越" "逾 yu2 to exceed; to go beyond; to transcend; to cross over; to jump over
逾期 yu2qi1 to be overdue; to fail to meet a deadline; to be behind in doing sth
逾越 yu2yue4 to exceed"
邸 di3 诋柢坻底骶砥茋抵 "氐 di3, 氏 shi4" 3180 "官邸 府邸" "邸 di3 residence of a high-ranking official; lodging-house
官邸 guan1di3 official residence
府邸 fu3di3 mansion house; official residence"
溢 yi4 羿镒嫕弋薏抑亦缢 "益 yi4, 八 ba1, 皿 min3" 3181 "洋溢 溢出 充溢 溢价" "溢 yi4 to overflow; (literary) excessive
洋溢 yang2yi4 brimming with; steeped in
溢出 yi4chu1 to overflow; to spill over; (computing) overflow
充溢 chong1yi4 to overflow (with riches); replete
溢价 yi4jia4 premium; to pay a premium"
睹 du3 笃堵赌 "目 mu4, 者 zhe3, 囗 wei2, 日 ri4, 土 tu3, 十 shi2" 3182 目睹 "睹 du3 to observe; to see
目睹 mu4du3 to witness; to see at first hand; to see with one's own eyes"
嗅 xiu4 锈绣岫珛琇溴袖秀 "口 kou3, 臭 chou4, 自 zi4, 犬 quan3, 目 mu4, 囗 wei2, 大 da4, 人 ren2" 3183 嗅觉 "嗅 xiu4 to smell; to sniff; to nose
嗅觉 xiu4jue2 sense of smell"
疡 yang2 炀佯扬洋飏烊徉阳 "疒 ne4, 广 guang3, 厂 chang3" 3184 溃疡 "疡 yang2 ulcers; sores
溃疡 kui4yang2 ulcer; to ulcerate"
遣 qian3 肷缱谴浅 "辶 chuo4, 中 zhong1, 口 kou3" 3185 "派遣 消遣 遣返 遣送" "遣 qian3 (bound form) to dispatch; to send; (bound form) to drive away; to dispel
派遣 pai4qian3 to send (on a mission); to dispatch
消遣 xiao1qian3 to while the time away; amusement; pastime; recreation; to make sport of
遣返 qian3fan3 to repatriate (e.g. prisoners of war); to send back
遣送 qian3song4 to send away; to deport; to repatriate"
悍 han4 翰菡汉焊瀚捍垾撼 "旱 han4, 卜 bu3, 日 ri4, 干 gan4, 囗 wei2, 十 shi2" 3186 "强悍 凶悍" "悍 han4 heroic; intrepid; valiant; dauntless; fierce; ferocious; violent
强悍 qiang2han4 tough; strong; formidable; fearsome
凶悍 xiong1han4 violent; fierce and tough; shrewish (woman)"
恺 kai3 剀楷慨垲凯铠蒈闿 "岂 qi3, 卜 bu3, 山 shan1, 己 ji3, 凵 kan3" 3187  "恺 kai3 joyful; kind"
嗦 suo1 缩嗍羧梭娑桫蓑唆 "口 kou3, 索 suo3, 十 shi2, 糸 mi4, 幺 yao1, 小 xiao3, 八 ba1" 3188 哆嗦 "嗦 suo1 suck
哆嗦 duo1suo5 to tremble; to shiver; uncontrolled shaking of the body"
暮 mu4 木墓牧苜睦钼目仫 "莫 mo4, 日 ri4, 十 shi2, 大 da4, 囗 wei2, 人 ren2" 3189 "暮色 日暮 暮年 迟暮" "暮 mu4 evening; sunset
暮色 mu4se4 twilight
日暮 ri4mu4 sunset
暮年 mu4nian2 one's declining years; one's old age
迟暮 chi2mu4 past one's prime"
杳 yao3 窈咬窅舀 "木 mu4, 日 ri4, 十 shi2, 囗 wei2" 3190  "杳 yao3 dark and quiet; disappear"
瀑 pu4 曝 "暴 bao4, 日 ri4, 囗 wei2, 共 gong4, 八 ba1, 卄 nian4, 十 shi2" 3191 "瀑布 飞瀑" "瀑 bao4 shower (rain)
瀑布 pu4bu4 waterfall
飞瀑 fei1pu4 waterfall"
绯 fei1 飞蜚鲱霏𬴂菲啡扉 "非 fei1, 三 san1, 二 er4" 3192 "绯闻 绯红" "绯 fei1 dark red; purple silk
绯闻 fei1wen2 sex scandal
绯红 fei1hong2 crimson; scarlet"
娴 xian2 闲贤舷衔嫌咸挦涎 "女 nü3, 闲 xian2, 门 men2, 木 mu4, 十 shi2" 3193 "娴熟 娴静" "娴 xian2 elegant; refined; to be skilled at
娴熟 xian2shu2 adept; skilled
娴静 xian2jing4 gentle and refined"
孚 fu2 洑韨弗浮氟扶桴琈 "子 zi5, 了 le5" 3194  "孚 fu2 to trust; to believe in"
迳 jing4 痉胫獍靓靖竫净婧 "辶 chuo4, 工 gong1" 3195  "迳 jing4 way; path; direct; diameter"
玷 dian4 惦殿癜坫钿店奠簟 "占 zhan4, 十 shi2, 口 kou3" 3196 玷污 "玷 dian4 blemish; disgrace; flaw in jade
玷污 dian4wu1 to stain; to sully; to tarnish"
婶 shen3 瞫审哂谂矧沈 "女 nü3, 审 shen3, 申 shen1, 日 ri4, 囗 wei2" 3197 "婶婶 婶子" "婶 shen3 wife of father's younger brother
婶婶 shen3shen5 wife of father's younger brother; aunt
婶子 shen3zi5 (coll.) father's younger brother's wife; aunt"
桨 jiang3 讲耩奖蒋膙 "夕 xi1, 木 mu4, 十 shi2" 3198  "桨 jiang3 oar; paddle"
帧 zhen1 箴真禛甄胗侦祯砧 "巾 jin1, 贞 zhen1, 贝 bei4, 人 ren2" 3199 装帧 "帧 zhen1 frame; classifier for paintings etc
装帧 zhuang1zhen1 binding and layout (of a book etc)"
玮 wei3 娓艉纬猥隗伪苇洧 "韦 wei2, 十 shi2, 二 er4" 3200  "玮 wei3 (reddish jade); precious; rare"
塌 ta1 他趿遢它褟她铊溻 "土 tu3, 十 shi2, 日 ri4, 羽 yu3, 囗 wei2, 习 xi2" 3201 "倒塌 坍塌 塌方 塌陷" "塌 ta1 to collapse; to droop; to settle down
倒塌 dao3ta1 to collapse (of building); to topple over
坍塌 tan1ta1 to collapse
塌方 ta1fang1 to cave in; to collapse; to have a landslide
塌陷 ta1xian4 to subside; to sink; to cave in"
桦 hua4 化话婳画觟划 "木 mu4, 华 hua1, 十 shi2, 化 hua4" 3202  "桦 hua4 (botany) birch (genus betula)"
煞 sha1 纱裟鲨痧杀砂铩莎 "刍 chu2, 乂 yi4" 3203 "煞是 煞白 煞车" "煞 sha1 to terminate; to cut short; to bring to a stop; to squeeze; to tighten; to damage
煞是 sha4shi4 extremely; very
煞白 sha4bai2 deathly white
煞车 sha1che1 to brake (when driving)"
叟 sou3 瞍嗾薮擞 "又 you4" 3204  "叟 sou3 old gentleman; old man"
缅 mian3 沔𩾃勉渑湎腼免冕 "面 mian4, 囗 wei2" 3205 "缅甸 缅怀" "缅 mian3 distant; remote; detailed
缅甸 mian3dian4 myanmar (or burma)
缅怀 mian3huai2 to commemorate; to recall fondly; to think of the past"
贰 er4 二咡 "弋 yi4, 二 er4, 贝 bei4, 人 ren2" 3206  "贰 er4 two (banker's anti-fraud numeral); to betray"
翼 yi4 悒𫄷呓臆译缢弋奕 "羽 yu3, 习 xi2, 田 tian2, 共 gong4, 囗 wei2, 十 shi2, 八 ba1, 卄 nian4" 3207 "右翼 左翼 羽翼 机翼" "翼 yi4 wing; area surrounding the bullseye of a target; to assist; one of the 28 constellations of chinese astronomy
右翼 you4yi4 the right flank; (politically) right-wing
左翼 zuo3yi4 left-wing (political)
羽翼 yu3yi4 wing; (fig.) assistant
机翼 ji1yi4 wing (of an aircraft)"
谣 yao2 姚猺媱尧轺遥峣徭 "䍃 yao2, 缶 fou3, 凵 kan3, 十 shi2" 3208 "谣言 民谣 造谣 歌谣" "谣 yao2 popular ballad; rumor
谣言 yao2yan2 rumor
民谣 min2yao2 ballad; folk song
造谣 zao4yao2 to start a rumor
歌谣 ge1yao2 folksong; ballad; nursery rhyme"
笠 li4 溧跞厉呖疠莉坜历 "立 li4" 3209 斗笠 "笠 li4 bamboo rain hat
斗笠 dou3li4 conical bamboo hat"
汞 gong3 拱硔珙巩 "工 gong1, 水 shui3" 3210  "汞 gong3 mercury (chemistry)"
胭 yan1 阉焉崦燕腌恹嫣淹 "因 yin1, 囗 wei2, 大 da4, 人 ren2" 3211 胭脂 "胭 yan1 rouge
胭脂 yan1zhi1 rouge"
娆 rao2 桡饶荛 "女 nü3, 兀 wu4, 儿 er2" 3212 妖娆 "娆 rao2 graceful
妖娆 yao1rao2 enchanting; alluring (of a girl)"
祺 qi2 歧俟圻畦祁跂琦锜 "其 qi2, 卜 bu3, 共 gong4, 八 ba1, 卄 nian4, 十 shi2" 3213  "祺 qi2 auspicious; propitious; good luck; felicity; euphoria"
阪 ban3 板版昄坂钣 "反 fan3, 又 you4" 3214  "阪 ban3 slope; hillside"
贮 zhu4 驻筑柷砫箸杼翥住 "贝 bei4, 㝉 zhu4, 人 ren2" 3215 "贮藏 贮存" "贮 zhu4 to store; to save; stockpile
贮藏 zhu4cang2 to store up; to hoard; deposits
贮存 zhu4cun2 to store; to deposit"
艮 gen3   3216  "艮 gen3 blunt; tough; chewy"
蕾 lei3 累耒儡藟诔磊癗垒 "雷 lei2, 十 shi2, 田 tian2, 囗 wei2" 3217 "花蕾 蓓蕾" "蕾 lei3 bud
花蕾 hua1lei3 bud; flower bud
蓓蕾 bei4lei3 flower bud; young flower still tightly rolled up"
妤 yu2 竽褕虞髃禺嵎愚娱 "女 nü3, 予 yu2" 3218  "妤 yu2 handsome; fair"
惘 wang3 枉魍辋往罔网 "罔 wang3, 卜 bu3, 亡 wang2" 3219 "迷惘 惘然 怅惘" "惘 wang3 disappointed; perplexed
迷惘 mi2wang3 perplexed; at a loss
惘然 wang3ran2 frustrated; perplexed; irresolute; dazed
怅惘 chang4wang3 distracted; listless; in low spirits"
娥 e2 额哦莪涐俄峨鹅蛾 "女 nü3, 我 wo3, 戈 ge1, 弋 yi4" 3220  "娥 e2 good; beautiful"
佃 dian4 淀店甸电扂癜殿靛 "田 tian2, 囗 wei2, 十 shi2" 3221 佃农 "佃 dian4 farmer
佃农 dian4nong2 tenant farmer; sharecropper"
弩 nu3 胬努砮 "奴 nu2, 弓 gong1, 女 nü3, 又 you4" 3222  "弩 nu3 crossbow"
摧 cui1 催崔榱缞 "崔 cui1, 山 shan1, 隹 zhui1, 凵 kan3, 土 tu3, 十 shi2" 3223 "摧毁 摧残" "摧 cui1 to break; to destroy; to devastate; to ravage; to repress
摧毁 cui1hui3 to destroy; to wreck
摧残 cui1can2 to ravage; to ruin"
汴 bian4 辨弁卞辩辫抃变遍 "卞 bian4, 卜 bu3" 3224  "汴 bian4 name of a river in henan; henan"
亘 gen4 茛 "旦 dan4, 日 ri4, 囗 wei2" 3225 亘古 "亘 gen4 extending all the way across; running all the way through
亘古 gen4gu3 throughout time"
仟 qian1 铅岍杄鹐阡钎褰千 "千 qian1, 十 shi2" 3226  "仟 qian1 thousand (banker's anti-fraud numeral)"
唾 tuo4 箨拓萚柝 "口 kou3, 垂 chui2" 3227 "唾沫 唾弃 唾液" "唾 tuo4 saliva; to spit
唾沫 tuo4mo5 spittle; saliva
唾弃 tuo4qi4 to spurn; to disdain
唾液 tuo4ye4 saliva"
呓 yi4 役㑊译抑忆羿潩𫄷 "口 kou3, 艺 yi4, 十 shi2" 3228 "呓语 梦呓" "呓 yi4 to talk in one's sleep
呓语 yi4yu3 to talk in one's sleep; crazy talk
梦呓 meng4yi4 talking in one's sleep; delirious ravings; nonsense; sheer fantasy"
闩 shuan1 栓拴 "门 men2" 3229  "闩 shuan1 bolt; latch; to bolt; to latch"
牟 mou2 鍪眸侔蛑谋 "牛 niu2, 十 shi2" 3230 牟利 "牟 mou2 barley; to moo; to seek or obtain
牟利 mou2li4 to gain profit (by underhand means); to exploit; exploitation"
俐 li4 痢沥唳凓坜詈浰粒 "利 li4, 禾 he2, 木 mu4, 十 shi2" 3231 伶俐 "俐 li4 clever
伶俐 ling2li4 clever; witty; intelligent"
佗 tuo2 柁橐陀驼跎鸵坨𬶍 "它 ta1, 匕 bi3" 3232 华佗 "佗 tuo2 carry on the back
华佗 hua4tuo2 hua tuo (?-208), famous doctor at the end of han dynasty"
涧 jian4 槛荐溅毽牮舰渐腱 "间 jian1, 门 men2, 日 ri4, 囗 wei2" 3233 山涧 "涧 jian4 mountain stream
山涧 shan1jian4 mountain stream"
恃 shi4 𬤊谥筮䏡媞士拭噬 "寺 si4, 卜 bu3, 土 tu3, 寸 cun4, 十 shi2" 3234 自恃 "恃 shi4 to rely on; mother (formal)
自恃 zi4shi4 self-esteem; self-reliance; overconfident; conceited"
夙 su4 肃愫溯蹜速塑诉骕 "几 ji3, 歹 dai3, 夕 xi1" 3235 夙愿 "夙 su4 morning; early; long-held; long-cherished
夙愿 su4yuan4 long-cherished wish"
徉 yang2 旸飏阳杨蛘烊玚羊 "彳 chi4, 羊 yang2, 二 er4" 3236 徜徉 "徉 yang2 to walk back and forth
徜徉 chang2yang2 to wander about unhurriedly; to linger; to loiter"
眩 xuan4 琄衒炫铉渲绚泫昡 "目 mu4, 玄 xuan2, 囗 wei2, 幺 yao1" 3237 "眩晕 晕眩 目眩" "眩 xuan4 dazzling; brilliant; dazzled; dizzy
眩晕 xuan4yun4 vertigo; dizziness; fainting; feeling of swaying, head spinning, lack of balance or floating (e.g. from a stroke)
晕眩 yun1xuan4 to feel dizzy; dizziness
目眩 mu4xuan4 dizzy; dazzled"
婊 biao3 裱脿表 "女 nü3, 表 biao3, 土 tu3, 十 shi2" 3238 婊子 "婊 biao3 prostitute
婊子 biao3zi5 prostitute; whore"
蚓 yin3 引瘾尹吲隐饮 "虫 chong2, 引 yin3, 中 zhong1, 口 kou3, 弓 gong1" 3239 蚯蚓 "蚓 yin3 earthworm
蚯蚓 qiu1yin3 earthworm"
蓬 peng2 膨澎蟛彭硼鹏芃淜 "逢 feng2, 十 shi2, 辶 chuo4, 夆 feng2, 丰 feng1, 三 san1, 二 er4" 3240 "蓬勃 蓬莱 蓬松 蓬乱" "蓬 peng2 fleabane (family asteraceae); disheveled; classifier for luxuriant plants, smoke, ashes, campfires: clump, puff
蓬勃 peng2bo2 vigorous; flourishing; full of vitality
蓬莱 peng2lai2 penglai, one of three fabled islands in eastern sea, abode of immortals; by extension, fairyland
蓬松 peng2song1 fluffy
蓬乱 peng2luan4 matted (of straw or hair); unkempt; overgrown; scraggly; thatch"
琦 qi2 祈𬨂蜞圻俟骑萁綦 "奇 ji1, 十 shi2, 大 da4, 可 ke3, 人 ren2, 丁 ding1, 口 kou3" 3241  "琦 qi2 curio; valuable stone"
筐 kuang1 匡诓哐洭 "匡 kuang1, 王 wang2, 土 tu3, 十 shi2" 3242 箩筐 "筐 kuang1 basket
箩筐 luo2kuang1 large wicker basket"
骋 cheng3 逞庱 "马 ma3, 甹 ping1, 由 you2, 日 ri4, 囗 wei2" 3243 驰骋 "骋 cheng3 to hasten; to run; to open up; to gallop
驰骋 chi2cheng3 to gallop; to rush headlong"
埠 bu4 蔀部簿钚步埗埔布 "土 tu3, 阜 fu4, 十 shi2" 3244 "蚌埠 华埠" "埠 bu4 wharf; port; pier
蚌埠 beng4bu4 bengbu prefecture-level city in anhui
华埠 hua2bu4 chinatown"
煲 bao1 龅苞胞枹褒孢包 "保 bao3, 火 huo3, 呆 dai1, 口 kou3, 木 mu4, 十 shi2, 人 ren2" 3245  "煲 bao1 to cook slowly over a low flame; pot; saucepan"
甬 yong3 鲬栐蛹踊埇勇俑恿 "用 yong4, 二 er4" 3246 甬道 "甬 yong3 short name for ningbo; path screened by walls on both sides
甬道 yong3dao4 walled-in path; paved pathway; canopied passageway; corridor; tunnel"
咝 si1 斯蛳虒思锶撕丝厮 "口 kou3, 丝 si1" 3247  "咝 si1 to whistle; to whiz; to fizz"
劈 pi1 伾噼披𬳵霹批邳丕 "辟 bi4, 刀 dao1, 辛 xin1, 尸 shi1, 口 kou3, 立 li4, 十 shi2" 3248 "劈柴 劈开" "劈 pi1 to hack; to chop; to split open; (of lightning) to strike
劈柴 pi1chai2 to chop firewood; to split logs
劈开 pi1kai1 to cleave; to split open; to spread open (fingers, legs)"
倭 wo1 涡挝蜗窝踒莴喔 "委 wei3, 禾 he2, 女 nü3, 木 mu4, 十 shi2" 3249  "倭 wo1 dwarf"
泯 min3 悯抿愍敏黾闵闽湣 "民 min2" 3250 泯灭 "泯 min3 (bound form) to vanish; to die out; to obliterate
泯灭 min3mie4 to obliterate; to die out; to disappear"
攒 zan3 寁昝趱 "赞 zan4, 兟 shen1, 贝 bei4, 先 xian1, 儿 er2, 人 ren2" 3251 积攒 "攒 zan3 to collect; to hoard; to accumulate; to save
积攒 ji1zan3 to save bit by bit; to accumulate"
疣 you2 蚰油猷邮𬨎由鲉犹 "疒 ne4, 尤 you2, 广 guang3, 厂 chang3, 尢 wang1" 3252  "疣 you2 nodule; wart"
腥 xing1 惺星煋瑆猩骍兴 "月 yue4, 星 xing1, 日 ri4, 生 sheng1, 囗 wei2, 土 tu3, 十 shi2" 3253 血腥 "腥 xing1 fishy (smell)
血腥 xue4xing1 reeking of blood; bloody (events)"
饵 er3 珥尔迩铒洱耳 "耳 er3" 3254 诱饵 "饵 er3 pastry; food; to swallow; to lure; bait; lure
诱饵 you4er3 bait"
衩 cha3 镲蹅 "叉 cha1, 又 you4" 3255 裤衩 "衩 cha3 open seam of a garment; shorts; panties
裤衩 ku4cha3 underpants"
儒 ru2 蠕嬬薷嚅如濡孺颥 "需 xu1, 而 er2" 3256 "儒学 儒雅 侏儒 儒教" "儒 ru2 scholar; confucian
儒学 ru2xue2 confucianism
儒雅 ru2ya3 scholarly; refined; cultured; courteous
侏儒 zhu1ru2 dwarf; pygmy; small person; midget
儒教 ru2jiao4 confucianism"
俟 qi2 䓫崎鳍歧骑脐岐耆 "矢 shi3, 大 da4, 人 ren2" 3257  "俟 si4 (literary) to wait for"
淳 chun2 莼𬭚醇纯鹑唇 "享 xiang3, 口 kou3, 子 zi5, 了 le5" 3258 淳朴 "淳 chun2 genuine; pure; honest
淳朴 chun2pu3 simple and honest; unsophisticated; guileless"
偌 ruo4 蒻若爇弱箬鄀婼 "若 ruo4, 右 you4, 十 shi2, 口 kou3" 3259 偌大 "偌 ruo4 so; such; to such a degree
偌大 ruo4da4 so big; such a big"
痪 huan4 涣换擐幻漶唤鲩患 "疒 ne4, 奂 huan4, 广 guang3, 厂 chang3, 大 da4, 人 ren2" 3260 瘫痪 "痪 huan4 illness; numbness of the limbs
瘫痪 tan1huan4 paralysis; be paralyzed (body, transportation, etc)"
盹 dun3 趸 "目 mu4, 屯 tun2, 囗 wei2, 凵 kan3" 3261 打盹 "盹 dun3 doze; nap
打盹 da3dun3 to doze off"
滨 bin1 玢镔宾濒缤彬傧邠 "宾 bin1, 兵 bing1, 丘 qiu1, 八 ba1, 斤 jin1" 3262 "海滨 滨海 湖滨 滨江" "滨 bin1 shore; beach; coast; bank; to border on
海滨 hai3bin1 shore; seaside
滨海 bin1hai3 binhai (place name); binhai new district, subprovincial district of tianjin; fictitious city binhai in political satire; primorsky, a territory in the far east of russia; coastal; bordering the sea
湖滨 hu2bin1 lakeside district; lake front
滨江 bin1jiang1 along the bank of a river; riverside"
泗 si4 兕寺汜似耜姒涘驷 "四 si4, 囗 wei2" 3263  "泗 si4 river in shandong; nasal mucus"
竭 jie2 结碣桀孑絜婕㛃鲒 "立 li4, 曷 he2, 曰 yue1, 囗 wei2" 3264 "竭力 衰竭 枯竭 竭尽" "竭 jie2 to exhaust
竭力 jie2li4 to do one's utmost
衰竭 shuai1jie2 organ failure; exhaustion; prostration (medicine)
枯竭 ku1jie2 used up; dried up; exhausted (of resources)
竭尽 jie2jin4 to use up; to exhaust"
烩 hui4 蟪卉浍讳恚哕晦秽 "火 huo3, 会 hui4, 人 ren2, 云 yun2, 二 er4" 3265  "烩 hui4 to braise; to cook (rice etc) with vegetables, meat and water"
烹 peng1 嘭砰怦抨 "亨 heng1, 口 kou3, 了 le5" 3266 "烹饪 烹调 烹制" "烹 peng1 cooking method; to boil sb alive (capital punishment in imperial china)
烹饪 peng1ren4 cooking; culinary arts
烹调 peng1tiao2 to cook
烹制 peng1zhi4 to cook; to prepare (food)"
澈 che4 撤彻㬚坼掣 "育 yu4, 乂 yi4" 3267 "清澈 澄澈" "澈 che4 clear (water); thorough
清澈 qing1che4 clear; limpid
澄澈 cheng2che4 limpid; crystal clear"
蹬 deng1 璒灯登噔 "登 deng1, 口 kou3, 止 zhi3, 豆 dou4" 3268  "蹬 deng1 to step on; to tread on; to wear (shoes); (slang) to dump (sb)"
笆 ba1 巴朳八吧捌芭岜蚆 "巴 ba1" 3269 篱笆 "笆 ba1 an article made of bamboo strips; fence
篱笆 li2ba5 fence (esp. of bamboo or wood railings)"
胤 yin4 慭印窨茚䲟  3270  "胤 yin4 descendant; heir; offspring; posterity; to inherit"
峪 yu4 芋鹆昱浴燏欲阈饫 "山 shan1, 谷 gu3, 凵 kan3, 八 ba1, 人 ren2, 口 kou3" 3271  "峪 yu4 valley"
